iter	Passed	Remaining
0	142	142368
1	146	73205
2	150	50180
3	154	38581
4	158	31618
5	162	26971
6	165	23474
7	167	20822
8	170	18745
9	172	17088
10	175	15739
11	177	14602
12	179	13661
13	182	12841
14	184	12129
15	187	11508
16	189	10954
17	191	10453
18	193	9967
19	194	9521
20	195	9117
21	196	8750
22	198	8414
23	199	8104
24	200	7816
25	201	7551
26	202	7305
27	203	7076
28	204	6863
29	206	6674
30	207	6489
31	208	6314
32	209	6151
33	211	5997
34	212	5852
35	213	5715
36	214	5584
37	215	5462
38	216	5344
39	218	5232
40	219	5127
41	220	5029
42	221	4933
43	222	4841
44	223	4753
45	225	4668
46	226	4587
47	227	4510
48	228	4436
49	229	4364
50	230	4296
51	232	4230
52	233	4168
53	234	4107
54	235	4048
55	236	3991
56	237	3936
57	239	3882
58	240	3830
59	241	3780
60	242	3731
61	243	3684
62	244	3638
63	245	3594
64	246	3552
65	248	3512
66	249	3472
67	250	3432
68	251	3394
69	252	3357
70	253	3321
71	254	3286
72	256	3252
73	257	3218
74	258	3186
75	259	3155
76	260	3124
77	261	3096
78	263	3066
79	264	3038
80	265	3009
81	266	2982
82	267	2949
83	268	2923
84	269	2898
85	270	2873
86	271	2849
87	272	2825
88	274	2805
89	275	2783
90	276	2761
91	278	2745
92	279	2726
93	280	2705
94	281	2685
95	282	2664
96	284	2644
97	285	2625
98	286	2605
99	287	2586
100	288	2570
101	289	2552
102	291	2534
103	292	2517
104	293	2500
105	294	2483
106	295	2467
107	296	2450
108	297	2434
109	298	2419
110	300	2403
111	301	2388
112	302	2373
113	303	2359
114	304	2344
115	305	2330
116	306	2314
117	307	2300
118	308	2287
119	310	2273
120	311	2260
121	312	2245
122	313	2233
123	314	2220
124	315	2207
125	316	2196
126	317	2183
127	318	2170
128	319	2159
129	320	2147
130	322	2136
131	323	2124
132	324	2113
133	325	2102
134	326	2091
135	327	2081
136	328	2070
137	330	2061
138	331	2052
139	332	2042
140	333	2033
141	334	2021
142	335	2011
143	336	2001
144	337	1992
145	338	1982
146	340	1973
147	341	1965
148	342	1957
149	344	1949
150	345	1942
151	346	1934
152	347	1925
153	348	1916
154	350	1908
155	351	1900
156	352	1892
157	353	1884
158	354	1876
159	355	1868
160	356	1858
161	357	1850
162	359	1843
163	360	1836
164	361	1829
165	362	1821
166	363	1814
167	364	1806
168	365	1799
169	367	1792
170	368	1785
171	369	1778
172	370	1770
173	371	1764
174	373	1760
175	374	1755
176	376	1750
177	377	1745
178	379	1740
179	380	1734
180	382	1728
181	383	1721
182	384	1715
183	385	1708
184	386	1702
185	387	1696
186	388	1690
187	389	1684
188	391	1678
189	392	1672
190	393	1666
191	394	1660
192	395	1654
193	396	1648
194	397	1642
195	398	1636
196	400	1630
197	401	1626
198	402	1621
199	403	1615
200	405	1610
201	406	1604
202	407	1599
203	408	1593
204	409	1588
205	410	1582
206	411	1577
207	412	1572
208	414	1566
209	415	1562
210	416	1557
211	417	1552
212	418	1546
213	419	1541
214	420	1536
215	421	1531
216	423	1526
217	424	1521
218	425	1516
219	426	1511
220	427	1507
221	428	1502
222	429	1497
223	430	1493
224	432	1488
225	433	1483
226	434	1479
227	435	1474
228	436	1469
229	437	1465
230	438	1460
231	439	1456
232	441	1452
233	442	1448
234	443	1443
235	444	1439
236	445	1434
237	446	1431
238	448	1427
239	449	1423
240	450	1418
241	451	1414
242	452	1410
243	453	1406
244	455	1402
245	456	1398
246	457	1394
247	458	1390
248	459	1386
249	461	1383
250	462	1379
251	463	1375
252	464	1371
253	465	1367
254	466	1363
255	467	1359
256	468	1355
257	469	1351
258	471	1348
259	472	1344
260	473	1340
261	474	1336
262	475	1333
263	476	1329
264	477	1325
265	479	1321
266	480	1318
267	481	1314
268	482	1310
269	483	1306
270	484	1303
271	485	1300
272	486	1296
273	487	1292
274	489	1289
275	490	1285
276	491	1282
277	492	1278
278	493	1275
279	494	1272
280	495	1268
281	497	1265
282	498	1262
283	499	1260
284	501	1257
285	502	1253
286	503	1250
287	504	1247
288	505	1244
289	506	1240
290	507	1237
291	509	1234
292	510	1231
293	511	1228
294	512	1224
295	513	1221
296	514	1218
297	515	1215
298	517	1212
299	518	1209
300	519	1206
301	520	1202
302	521	1199
303	522	1196
304	523	1193
305	525	1190
306	526	1188
307	527	1185
308	528	1182
309	529	1179
310	530	1176
311	531	1172
312	533	1169
313	534	1167
314	535	1164
315	536	1161
316	537	1158
317	538	1155
318	539	1152
319	541	1149
320	542	1146
321	543	1143
322	544	1140
323	545	1138
324	546	1135
325	547	1132
326	548	1129
327	549	1126
328	551	1123
329	552	1121
330	553	1118
331	554	1115
332	555	1113
333	556	1110
334	557	1107
335	559	1104
336	560	1102
337	561	1099
338	562	1096
339	563	1093
340	564	1091
341	565	1088
342	566	1085
343	568	1083
344	569	1080
345	570	1078
346	571	1075
347	572	1072
348	573	1070
349	574	1067
350	575	1064
